timestamp,page,merchant,banks,price,min_limit,max_limit,available,orders,success_rate
2026-05-10 23:06:25,3,MentalStagnums,"BNC Banco Nacional de Crédito, Bank Transfer, Banco de Venezuela",657.179,1200000.0,14000000.0,18184.72,2542,100.0
2026-05-10 23:06:25,3,D B Pago Rápido y Seguro,"Bank Transfer, Banco de Venezuela",657.18,3300000.0,50000000.0,30039.24,3245,99.1
2026-05-10 23:06:28,4,-TSxRV-,"Provincial, Mercantil, Bank Transfer, Banco de Venezuela",657.19,3300000.0,54000000.0,67011.71,2917,99.5
2026-05-10 23:06:28,4,OPABIANCHI,"Bank Transfer, Banco de Venezuela",657.222,2000000.0,5500000.0,7513.13,6156,99.6
2026-05-10 23:06:28,4,-APEX-,"Bank Transfer, Mercantil, Banco de Venezuela",657.3,3300000.0,200000000.0,67730.59,979,99.9
2026-05-10 23:06:28,4,ExpressTime_,Banesco,657.3,400000.0,10000000.0,5430.59,1876,99.5
2026-05-10 23:06:28,4,roaord05,Mercantil,657.3,100000.0,10000000.0,757.45,7858,99.6
2026-05-10 23:06:28,4,Cambioslaw,Banesco,657.376,200000.0,4000000.0,707.09,1074,99.9
2026-05-10 23:06:28,4,M13M,Banesco,657.38,80000.0,1000000.0,358.49,556,100.0
2026-05-10 23:06:28,4,LeNary-,"Bancamiga, Provincial, BNC Banco Nacional de Crédito",657.39,300000.0,900000.0,1165.98,4374,99.3
2026-05-10 23:06:28,4,LuicmarTrader,"BNC Banco Nacional de Crédito, Provincial, BBVA",657.4,100000.0,10000000.0,1711.88,1608,99.9
2026-05-10 23:06:28,4,JR_cryptoxchange,Banesco,657.4,100000.0,439268.0,451.82,7674,100.0
2026-05-10 23:06:31,5,JR_cryptoxchange,Banesco,657.4,100000.0,439268.0,451.82,7674,100.0
2026-05-10 23:06:31,5,chichiwilote,Banesco,657.4,500000.0,10000000.0,7407.19,6567,99.7
2026-05-10 23:06:31,5,cfracachan,"Mercantil, BNC Banco Nacional de Crédito, Provincial",657.4,500000.0,8000000.0,2004.0,4812,99.8
2026-05-10 23:06:31,5,davzotrading,"Banesco, Pago Movil",657.44,200000.0,1400000.0,491.67,4477,98.8
2026-05-10 23:06:31,5,Apolo_Cript,"Banesco, Provincial, Bank Transfer, Mercantil, BNC Banco Nacional de Crédito",657.486,900000.0,10000000.0,1476.02,833,94.2
2026-05-10 23:06:31,5,InversionesMR,"Banesco, BNC Banco Nacional de Crédito",657.49,1000000.0,10000000.0,10766.0,710,98.7
2026-05-10 23:06:31,5,EverCryptoUSDT ,"Bancamiga, Pago Movil, Provincial, BBVA",657.49,500000.0,9000000.0,6026.89,4757,98.1
2026-05-10 23:06:31,5,BalduinoIV,Banesco,657.498,3300000.0,50000000.0,49681.18,3390,99.0
2026-05-10 23:06:31,5,GJCB_Trader,Banesco,657.5,200000.0,1900000.0,2668.79,5267,99.8
2026-05-10 23:06:31,5,cambiosaular,Bancamiga,657.5,500000.0,1953000.0,3000.0,2910,93.6
2026-05-10 23:11:18,1,LATIGRACOIN老虎,"Mercantil, Provincial, BBVA",669.999,20000.0,4000000.0,12915.92,2235,99.6
2026-05-10 23:11:18,1,Importinggroup,Mercantil,654.5,30000.0,200000.0,50.63,1047,98.9
2026-05-10 23:11:18,1,fundatrade,"Banesco, Mercantil, BNC Banco Nacional de Crédito",656.4,30000.0,10000000.0,57.43,2409,94.2
2026-05-10 23:11:18,1,Cambios-G,"Pago Movil, Banco del Tesoro",656.4,100000.0,3000000.0,1510.56,1755,100.0
2026-05-10 23:11:18,1,Latinlf,Pago Movil,656.589,5000.0,10000000.0,125.77,4258,99.1
2026-05-10 23:11:18,1,Elqueyasabes,Provincial,656.6,100000.0,500000.0,393.68,4498,98.2
2026-05-10 23:11:18,1,Mahc012712,Provincial,656.7,200000.0,208700.0,320.0,134,100.0
2026-05-10 23:11:18,1,AskenLurom,"BNC Banco Nacional de Crédito, Bancaribe, Bancamiga",656.75,30000.0,2000000.0,345.7,448,97.9
2026-05-10 23:11:18,1,P2T___P2T,Bancamiga,656.798,400000.0,5258787.0,8014.0,1177,99.8
2026-05-10 23:11:18,1,In_God-I_trust,Bancamiga,656.799,3300000.0,39393790.0,35724.71,3411,99.9
2026-05-10 23:11:18,1,RJDtrades,Banesco,656.8,788160.0,790130.0,1203.0,1554,100.0
2026-05-10 23:11:17,2,kaizenholder,Banesco,656.8,1000000.0,10000000.0,1649.05,2014,99.9
2026-05-10 23:11:17,2,hc investings ,"Mercantil, Pago Movil",656.89,300000.0,3000000.0,712.82,9439,99.1
2026-05-10 23:11:17,2,OjrsTrade,Banesco,656.9,500000.0,5000000.0,2134.95,4192,99.7
2026-05-10 23:11:17,2,CriptoIntercambios1,Banco de Venezuela,656.94,500000.0,14000000.0,3522.64,7895,100.0
2026-05-10 23:11:17,2,Qwer77,Banesco,656.95,4000000.0,10000000.0,8963.89,2370,99.3
